category,events,points,tname,tid,tc,tbc,tbd,name,flag,zwid,podiums,upgrades
B,1,+00:18.6,,0,00dd00,,,David Brady,gb-eng,392747,,0
B,1,+00:20.3,ZRG,1942,1bc1f1,3d3d3d,1bc1f1,Daniel Frobeen,de,237319,,0
B,1,+00:22.8,Team Italy,588,dd4b39,ffffff,00a65a,Richard Colombo,it,900098,,0
B,1,+00:23.4,BRT,4,ffffff,050505,ff8100,Matt Cope (BRT),gb,292632,,0
B,1,+00:23.9,ZHR,1979,ff0000,03228c,03228c,kevyn Newton,gb,39508,,0
B,1,+00:24.4,Vixen/Fox,1940,7409a6,f79d4b,ffffff,Chris Lawson &#129418; [VFOX],us,944931,,0
B,1,+00:26.8,Blarney CC,4612,f5eeee,e61313,241818,Karl McCarthy (Herd of Lions),ie,549700,,0
B,1,+00:29.1,,0,00dd00,,,josh flanagan ,us,7236,,0
B,1,+00:29.5,BRT,4,ffffff,050505,ff8100,Stuart Leach (BRT Draft Beers),gb,322268,,0
B,1,+00:29.6,BRT,4,ffffff,050505,ff8100,Lee  Chalk(BRT tequila chasers),gb,255651,,0
B,1,+00:30.5,KLD,2163,ffffff,3cbebe,269898,Roman Pyasetskiy,ru,852006,,0
B,1,+00:30.8,,0,00dd00,,,Barry Dickson,au,3309,,0
B,1,+00:32.5,BRT,4,ffffff,050505,ff8100,Leon Bond (BRT Draft Beers),gb,266642,,0
B,1,+00:34.0,,0,00dd00,,,Thor BG-Man,de,471274,,0
B,1,+00:35.0,ZRG,1942,1bc1f1,3d3d3d,1bc1f1,Frank Eggert (ZRG-R-TTT),de,207016,,0
B,1,+00:35.9,TFC,10,111111,f3f300,111111,Dean Hardie (TFC Hurricane),gb-wls,96086,,0
B,1,+00:36.6,Sz,32,f3f300,0073b7,f3f300,Tonie Olsson,se,279195,,0
B,1,+00:37.0,,0,00dd00,,,Alejandro Mallea,cl,787828,,0
B,1,+00:37.4,Team CRYO-GEN,2740,ffffff,0073b7,ffffff,Jeff Arnier Sr. (CRYO-GEN Vultures),us,322928,,0
B,1,+00:39.9,BRT,4,ffffff,050505,ff8100,Francisco Arce,za,652272,,0
B,1,+00:40.5,,0,00dd00,,,Sam Barker,gb,1094190,,0
B,1,+00:41.3,,0,00dd00,,,Chris Reedy,us,1269508,,0
B,1,+00:44.1,,0,00dd00,,,Helga Chirkova,ru,359003,,0
B,1,+00:44.2,DBR,1986,ffffff,eb7b2a,ffffff,Henrik Hansen ,dk,113965,,0
B,1,+00:46.4,BRT,4,ffffff,050505,ff8100,Ricardo Alarcon (BRT Chasers),gb,421155,,0
B,1,+00:46.9,Team AHDR,629,fc6955,55d4fc,ffffff,Daniel Wells,au,146085,,0
B,1,+00:47.7,TeamNL,2281,ffffff,ffa500,ffa500,Eddy Creemers,nl,1041913,,0
B,1,+00:48.6,,0,00dd00,,,Mike Meysner,gb,459227,,0
B,1,+00:49.3,Team CRYO-GEN,2740,ffffff,0073b7,ffffff,Angela MacRae (CRYO-GEN),au,1332978,,0
B,1,+00:52.8,BRT,4,ffffff,050505,ff8100,Vin Lam&#9889;[BRT] &lt;The Sticky Bottle&gt;,gb,868022,,0
